id;Perguntas ;Universidades;Referências
1;O que é Propriedade Intelectual?;Universidade Federal do Amazonas ;UNIVERSIDADE FEDERAL DO AMAZONASs 2023. Disponível em: https://protec.ufam.edu.br/perguntas-frequentes.html
1;O que é Patente?;Universidade Federal do Amazonas ;UNIVERISDADE FEDERAL DO AMAZONAS. Perguntas Frequentes. 2023. Disponível em: https://protec.ufam.edu.br/perguntas-frequentes.html. Acesso em: 03 dez. 2024.
2;O que é marca?;Universidade Federal do Amazonas ;2023.https://protec.ufam.edu.br/perguntas-frequentes.html
3;O que são Direitos Autorais?;Universidade Federal do Amazonas ;2023.https://protec.ufam.edu.br/perguntas-frequentes.html
4;O que é Cultivar?;Universidade Federal da Integração Latino-Americana;UNIVERSIDADE FEDERAL DA INTEGRAÇÃO LATINO-AMERICANA.  2021. Perguntas Frequentes. Disponível em: https://portal.unila.edu.br/prppg/inovacao/inovacao-tecnologica/perguntas-frequentes. Acesso em: 03 dez. 2024.
5;Qual é a forma de apresentação de uma marca?;Universidade Federal de Viçosa;UNIVERSIDDE FEEDERAL DE VIÇOSA. NIT. Núcleo de Inovação Tecnológica. Perguntas Frequentes. 2022. Disponível em: https://nit.ufv.br/fale-conosco/duvidas-frequentes/. Acesso em: 03 dez. 2024.
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
6.  O que é Programa de Computador;;;
7.  O que é Cultivar?;;;
8. O que é Indicação Geográfica?;;;
https://portal.unila.edu.br/prppg/inovacao/inovacao-tecnologica/perguntas-frequentes;;;
;;;
;;;
9. Qual é a natureza de uma marca?;;;
10. Qual a vigência de um registro de marca;;;
11. Qual é a forma de apresentação de uma marca?;;;
https://nit.ufv.br/fale-conosco/duvidas-frequentes/;;;
;;;
